,Reporter ISO,Year,TOE,Trade Value (US$),TOE_I
0,,2012,0.0,1925.0,0.0
1,,2013,2756.9072020000003,277461261.0,5357.71905539136
2,,2014,1.6628999,143264336.0,53.356715199001336
3,,2015,0.002654215,225.0,0.007870713091688075
4,,2016,1039.6450303,35480486.0,1244.3867429678332
5,,2017,158033.04902787198,7077005180.0,38546.77898195482
6,ABW,2012,0.000573653,3868.0,0.000375143413400717
7,ABW,2013,40.373844,3605499.0,794.3974720473237
8,ABW,2014,0.029770017,9223.0,0.0172697505967935
9,ABW,2015,0.18234457,55844.0,0.26442700717828665
10,ABW,2017,0.21254268999999998,66730.0,1.7678187102849408
11,AFG,2010,0.85791075,37650.0,4.597266699305844
12,AFG,2011,0.57797671,31829.0,1.4547584317738476
13,AFG,2015,8.19833037,424692.0,41.694611497753876
14,AFG,2016,6506.772879924,311282400.0,10278.779631119112
15,AGO,2010,0.000231174,135.0,0.00239893278991164
16,AGO,2012,0.0017465970000000001,2007.0,0.0017227958172059805
17,AGO,2014,0.43774853399999997,19896.0,2.24781584010699
18,AGO,2015,0.003039509,31085.0,0.000695871118041958
19,AGO,2016,0.113857276,79893.0,0.21843278760356793
20,AGO,2017,0.6357272389999999,802155.0,0.15644444515502404
21,ALB,2011,73.5576441,8384540.0,86.85290213555236
22,ALB,2012,85.7831041,9311182.0,103.87275518661252
23,ALB,2013,27.581898032999998,3135668.0,3.228659284922904
24,ALB,2014,54.668768,5655436.0,285.7572811018621
25,ALB,2015,0.087717518,16512.0,0.12720357267478535
26,ALB,2016,65.967642,2925902.0,154.76402675884307
27,ALB,2017,867.6807507000001,52166498.0,1605.3248782372793
28,AND,2012,0.00039387900000000003,346.0,0.0006072050418585975
29,AND,2016,0.000239736,302.0,0.000446932117767072
30,AND,2017,29.20334154,1954931.0,6.63265592242153
31,ARE,2012,0.00082195,189.0,0.0106336166889265
32,ARE,2013,0.16265199000000002,35103.0,0.15518268405671803
33,ARE,2014,0.001952132,7291.0,0.021065986126920185
34,ARE,2015,0.052707573,21010.0,0.04902615190901993
35,ARE,2016,0.397541452,77171.0,2.5661513737503543
36,ARE,2017,346.46586822800003,42019998.0,148.78872760275948
37,ARG,2010,3.42e-05,783.0,1.26731862e-06
38,ARG,2013,1000.94,102302992.0,10189.773111496801
39,ARG,2014,0.008870214000000001,47047.0,0.030967383134512742
40,ARG,2015,1738.155166975,105183932.0,297.491711362795
41,ARG,2016,3381.369630116,111638161.0,2417.941617009381
42,ARG,2017,75068.159013346,2330869664.0,25213.548119289528
43,ARM,2012,1.71e-05,1695.0,5.0707721065499994e-05
44,ARM,2013,0.1640476,14457.0,0.37801450392552033
45,ARM,2014,5.0448923,294700.0,44.06378791298848
46,ARM,2015,0.00015413,5477.0,0.000255863028450885
47,ARM,2017,15237.289065227002,358276059.0,21108.70489765474
48,ATG,2010,8.56e-06,28.0,2.53835141708e-05
49,ATG,2011,0.003852892,6433.0,0.0055872719464098285
50,ATG,2017,0.024059173,8447.0,0.09307026758569505
51,AUS,2010,169.215036,14303003.0,2778.5195943138924
52,AUS,2011,322.45056,31452016.0,4060.194999303571
53,AUS,2013,110.46324987699998,10365902.0,91.70604499487824
54,AUS,2014,0.053675075,64222.0,0.0530485843208663
55,AUS,2015,0.000119868,1128.0,0.000223466058883536
56,AUS,2016,294.317932768,10200815.0,416.27032924420456
57,AUS,2017,7453.364695102001,217588056.0,2457.134733592239
58,AUT,2010,0.015411571,2519.0,0.13351994480462348
59,AUT,2011,0.000248298,28.0,0.00045367673202142196
60,AUT,2012,2.2015512,242168.0,1.0688145040339516
61,AUT,2013,1.121619891,96289.0,1.3142931561995712
62,AUT,2014,5.250755884999999,508091.0,15.399783912385795
63,AUT,2015,0.016858544,6659.0,0.1940532105049027
64,AUT,2017,70.555998887,4010439.0,16.932044729235827
65,AZE,2012,0.045635361000000006,13174.0,0.028166269021381484
66,AZE,2013,0.000308231,2149.0,0.00018051902117603198
67,AZE,2014,8.56e-05,9308.0,0.00021616642135623336
68,AZE,2015,0.000856198,11982.0,0.000496685168889
69,AZE,2016,616.5835257,19129927.0,710.3959639798481
70,AZE,2017,2892.580356838,69850538.0,5203.113517254229
71,BDI,2013,0.00513719,109.0,0.00744969689531321
72,BDI,2014,0.33357486,55612.0,1.7794077505598058
73,BDI,2016,6.85e-05,586.0,2.53834285e-06
74,BDI,2017,1.68981023,175633.0,0.0
75,BEL,2010,485.25699255899997,21506221.0,1736.2138715056901
76,BEL,2011,3300.5479269920006,179726206.0,22872.90795012873
77,BEL,2012,694.649358298,74304121.0,624.1826363499835
78,BEL,2013,680.03734,71724468.0,2070.83455077763
79,BEL,2015,0.000428099,291.0,0.000340471062936424
80,BEL,2016,0.294498,12943.0,0.138956950571112
81,BEL,2017,261346.21435261,9950463979.0,16031.845986446751
82,BEN,2010,4.280992,398431.0,88.46106165634593
83,BEN,2013,12.8634892,1144663.0,99.06305361633912
84,BEN,2014,7.249808022,599731.0,9.790337315385074
85,BEN,2016,247.44491200000002,16417718.0,685.314966479473
86,BEN,2017,315.936145522,25211802.0,149.7873176611407
87,BFA,2010,21.1761385,2073081.0,236.1345715388516
88,BFA,2013,8.3521471,1075537.0,165.60290756001115
89,BFA,2014,0.046234708,1215.0,0.17451949915511614
90,BFA,2015,24.0997232,1659270.0,103.90049377276888
91,BFA,2016,92.28394605,6248799.0,908.5900325718738
92,BFA,2017,741.4663508469998,61496227.0,223.8518490902842
93,BGD,2010,3.42e-05,304.0,1.26731862e-06
94,BGD,2011,0.0006507100000000001,893.0,0.00247827186796921
95,BGD,2012,0.21408378,10307.0,0.9811812973041105
96,BGD,2013,0.0030480539999999997,4044.0,0.0037814838093603413
97,BGD,2015,954.350485703,68000015.0,1020.4560717214655
98,BGR,2012,2.1532531,210412.0,37.614475108372474
99,BGR,2013,1.1644298,100628.0,49.32415950744617
100,BGR,2014,1.420005,147589.0,1.1293430064658798
101,BGR,2015,27.636549560000002,1687516.0,40.97624436152397
102,BGR,2016,25.883734,1245783.0,263.5016851542905
103,BGR,2017,21753.711239002005,784283323.0,6116.105779799838
104,BHR,2010,0.001712397,175.0,0.02156195894410119
105,BHR,2011,0.000753455,234.0,0.0007119149417934699
106,BHR,2012,8.56e-06,370.0,1.5958132813119998e-05
107,BHR,2015,6.85e-05,139.0,9.322697736160001e-05
108,BHR,2016,0.245634738,39514.0,0.014870444308872273
109,BHR,2017,0.10304348299999999,40195.0,0.5345059438319685
110,BHS,2010,0.000385289,42.0,0.00034632010766777997
111,BHS,2014,10.623128025000002,2624422.0,104.04970095660147
112,BHS,2015,342.194370647,11773578.0,264.51251970267936
113,BIH,2013,0.001404141,1654.0,0.001012036027729099
114,BIH,2015,0.27072993,17493.0,5.3537579339011785
115,BIH,2016,2.4152498,92070.0,0.7562859719100992
116,BIH,2017,2156.4341474050007,99704548.0,463.44483137189826
117,BLR,2011,0.00021405,400.0,0.00158326665075045
118,BLR,2016,0.7604668400000001,14300.0,0.9464785516829556
119,BLR,2017,117135.38232529,2962416676.0,76303.26594476172
120,BLZ,2012,0.36440659,17134.0,3.3406321329352475
121,BLZ,2015,6.4258027,198946.0,46.33101278175961
